Grantee,Total awarded:,Grant purpose,Grantee website,Year(s) granted:,Focus area,Service area,Returned/Cancelled grant?,Reason cancelled/returned:,City,Lat,Long,Area,Legislative district,Project
Beyond Expectations,$93876.00,"to launch and develop “be.tv eStudios,” an initiative teaching Burlington County students and young adults, ages 14-24, storytelling and media production skills with an emphasis on conducting interviews with professionals, business leaders, educators, etc., and using online gaming techniques for capturing and promoting interview highlights. It also teaches media and business skills and has involved students in organizing and staging esports tournaments and programs. ",https://beyondexp.net/collaborate,"2021,2022",Journalism pipeline,Burlington County,,,Mount Holly,39.9929,-74.7877,South Jersey,8,be.tv eStudios
Atlantic City Focus,$300000.00," to fund a project to create a Civic Engagement Guide for Atlantic City that provides residents with a comprehensive directory of information on local elections, community resources, and leadership.
",https://www.atlanticcityfocus.com,"2023,2024,2025",Civic news and information reporting,Atlantic County,,,Atlantic City,39.3643,-74.4229,South Jersey,2,Civic Engagement Guide
Unidad Latina en Acción NJ,$370000.00,"to support the Radio Jornalera NJ Communication Project, which brings together the development, production and dissemination of public service announcements from the Jornalero and Domestic Laborer Communicators throughout the state. The Public Service Announcements are on topics that affect daily life, such as housing rights, workers’ rights, wage theft, health and safety at work, healthy lifestyle, and/or climate change.
",https://unidadlatinanj.org,"2022,2023,2024,2025",Civic news and information reporting,Statewide,,,New Brunswick,40.5008,-74.4474,Central Jersey,17,Radio Jornalera NJ Communication Project
The Jersey Bee,$420000.00,"to launch a community-reporter corps pilot program that trains residents in news gathering, writing, and production and provides paid reporting assignments that prioritize the information needs of underserved populations in the surrounding community, inspire civic participation, and build narrative power. 
",https://jerseybee.org,"2021,2022,2023,2024,2025",Civic news and information reporting,Essex County,,,Bloomfield,40.8068,-74.1854,North Jersey,34,Community reporter corps pilot
Mental Health Association of New Jersey,$75000.00,"to conduct a research project assessing how community college students receive information on mental health services, key topics that resonate with them, and preferences on how they receive that information, and to identify the most effective ways to access services and stigma-breaking concepts.
",https://www.mhanj.org,2022,Civic news and information reporting,Statewide,,,Trenton,40.2206,-74.7597,Central Jersey,15,Community college mental health research
Old Bridge NJ Resident,$35000.00,to create a comprehensive and searchable archive of local-government activity spanning more than two decades. The project was completed and the tool made available to area residents and journalists. ,https://www.facebook.com/groups/oldbridgenewjerseyresidents/,2021,Civic news and information reporting,Middlesex County,,,Old Bridge,40.4115,-74.3654,Central Jersey,12,Local government archive
Camden Parent & Student Union,$280000.00,"to train Camden high school students in interviewing and media reporting so they can become community reporters and storytellers. The grant also will fund voter education programs and training. 
",https://www.camdenpsu.com,"2023,2024,2025",Civic engagement in NJ communities,Camden County,,,Camden,39.9259,-75.1196,South Jersey,5,Camden student reporter training
Radio Rouj & Ble,$40000.00,"to enable this online Haitian community radio organization to develop its own website, app, and weekly public service announcements, relevant to the more than 23,000 members of the Haitian community in Essex County. The project aim is to focus on translating and disseminating reliable information on civics, health, relevant news, and education and to create a platform where community members can address concerns and share experiences.
",https://www.radioroujeble.com,2022,Civic news and information reporting,Essex County,,,East Orange,40.7673,-74.2049,North Jersey,34,Haitian community radio platform
Two River Times,$31879.00,to support the Two River Times with costs associated with its organization’s transition from a for-profit to a non-profit.,https://tworivertimes.com/,2024,Civic news and information reporting,Monmouth County,,,Red Bank,40.3470,-74.0643,Central Jersey,11,Nonprofit conversion support
NJ Coalition to End Homelessness,$99200.00,"to support efforts to expand the reach and enhance the impact of Garden State Leaders, a statewide leadership and advocacy training program for New Jersey residents with lived experience of homelessness and poverty. The funds will enable them to formalize their ongoing statewide support and outcome tracking, and to pilot a local leadership program in collaboration with the Mercer Alliance to End Homelessness, for replication in other counties.
",https://www.njceh.org/newsroom,2023,Civic news and information reporting,Statewide,,,Trenton,40.2206,-74.7597,Central Jersey,15,Garden State Leaders
Clinton Hill Community Action,$300000.00,"to fund journalism training for neighborhood residents to learn how to use storytelling as an advocacy strategy. This includes oral histories, podcasts, video reports and documentaries. The funding also is being used to establish a new media training, production, and webcast center through Clinton Hill’s Citizen Journalism Program.
",https://clintonhillaction.org,"2022,2023,2024,2025",Journalism pipeline,Essex County,,,Newark,40.7357,-74.1724,North Jersey,29,Citizen Journalism Program
The Jersey Vindicator,$10000.00,"Blue Engine Technology & Sustainability Accelerator cohort members all received a $10,000 technology grant used to implement new technological solutions for the respective organizations. This includes, but is not limited to, software and hardware updates including website development, subscriptions for cloud-based applications, computer equipment, etc. ",jerseyvindicator.org,2024,Blue Engine Tech & Sustainability Accelerator Grant,Statewide,,,Newark,40.7357,-74.1724,North Jersey,29,Blue Engine Technology & Sustainability Accelerator cohort
Hammonton Gazette,$3300.00,to support the placement of a student intern through the Statewide Paid Internship Program.,LNNUSA.com,2025,Journalism pipeline,South Jersey,,,Hammonton,39.6368,-74.8021,South Jersey,8,Statewide Paid Internship Program
MercerMe,$10000.00,"Blue Engine Technology & Sustainability Accelerator cohort members all received a $10,000 technology grant used to implement new technological solutions for the respective organizations. This includes, but is not limited to, software and hardware updates including website development, subscriptions for cloud-based applications, computer equipment, etc. ",www.mercerme.com,2024,Blue Engine Tech & Sustainability Accelerator Grant,Mercer County,,,Pennington,40.3249,-74.7888,Central Jersey,15,Blue Engine Technology & Sustainability Accelerator cohort
The Daily Targum (Targum Publishing Co.),$10000.00,"Blue Engine Technology & Sustainability Accelerator cohort members all received a $10,000 technology grant used to implement new technological solutions for the respective organizations. This includes, but is not limited to, software and hardware updates including website development, subscriptions for cloud-based applications, computer equipment, etc. ",http://dailytargum.com,2024,Blue Engine Tech & Sustainability Accelerator Grant,Middlesex County,,,New Brunswick,40.5008,-74.4474,Central Jersey,17,Blue Engine Technology & Sustainability Accelerator cohort
Center for Cooperative Media,$130000.00,"to support the expansion of the South Jersey Information Equity Project (SJEIP) from a cohort of 5 to 10 fellows annually and establish an SJIEP community reporting workshop series to further engage local storytellers through intergenerational learning and co-creation workshops. 
",https://centerforcooperativemedia.org,"2023,2024",Civic engagement in NJ communities,South Jersey,,,Montclair,40.8259,-74.2090,North Jersey,27,South Jersey Information Equity Project
Global Patriot Newspapers online ,$3300.00,to support the placement of a student intern through the Statewide Paid Internship Program.,www.globalpatriotnews.com,2025,Journalism pipeline,North Jersey,,,Paterson,40.9168,-74.1718,North Jersey,35,Statewide Paid Internship Program
